id,order_status,total_price,order_paid,day,time,quantity,product_id,product_name,unit,mode_delivery,merchant_id,productImg
89,11,65,1,Thu,6:37:24 PM,1,95,Brighthening Toner,Unit,2,66,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/66-1602756914588.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T103613Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=97a4357e7f4206c109694163ee611c096b7cf68f405c912f8aa19d4d2d9dfe25\"""
90,10,8,0,Thu,6:59:16 PM,1,134,Ayam Penyet,Pek,2,106,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/106-1602759339712.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T105839Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=f1a798b19ad9bc7aeeede0cc493df53f2057a0fc8e3ab2118f40473ba13e5bb3\"""
91,4,0,0,Thu,7:33:13 PM,0,116,Home Testing for Covid 19,Unit,1,98,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/98-1602758392463.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T113254Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=a4d12c0164e5d71b1d1aa94700590b20580c26d1851b0758ebcf3ba0c2592a28\"""
92,4,77,0,Thu,7:37:49 PM,1,96,Penapis Air Coway KECIL,Unit,1,78,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/78-1602757498902.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T113550Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=28b8ab682133fbd25c895583f119393c2d97bd47d4771ed7af71e8b2a0fbe4dd\"""
93,4,45,0,Thu,7:38:18 PM,1,113,D'LO FRAGRANZA,Unit,2,73,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/73-1602758988523.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T113732Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=c63c188472deefbbf318e17244b0f992fd3d0c45252cc38c11b51914688ac00a\"""
94,11,25,1,Thu,8:18:53 PM,1,78,Jumbo Chilled Bottle Americano,Unit,2,63,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/63-1602755013832.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T121732Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=c3d69b4b53efc49e3210ed26993adce56b74f5151dbc7645165e0c6fd0e8b085\"""
95,11,20,1,Thu,8:36:43 PM,2,200,Lemonib 1000ml Sugar Free,Unit,1,124,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/124-1602764250201.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T123552Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=7e905f107ecccb39ad4e679f30e85bb0e97b4c84fc50f15664a9e9cf686d18b1\"""
96,8,45,0,Thu,9:06:51 PM,1,113,D'LO FRAGRANZA,Unit,2,73,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/73-1602758988523.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T130539Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=62b5944ec2475ce0bbc09aea8016edb873192a88bd0fc2538349f2f9af6d429a\"""
97,4,45,0,Thu,9:09:42 PM,1,113,D'LO FRAGRANZA,Unit,1,73,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/73-1602758988523.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T130834Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=592ee7ed4acfc24ccabe156b18a80955a08e67795bf8253819f7bf73679adbe7\"""
98,11,20,1,Thu,9:32:58 PM,1,238,Unicorn Cheese Tart (Mini Box),Pek,2,161,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/161-1602766243692.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T133219Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=09be229c25859a6d05868b1c2b62f78244236f1bc9effc80a37fd8493b0bdd65\"""
99,8,40,0,Thu,9:38:22 PM,1,159,Popia otak²,Pek,1,121,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/121-1602761890370.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T133711Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=a0fd46572f4e063d12336c8deef7ba2aab9c0603e1155c5ff3a8b64502a050fe\"""
100,11,160,1,Thu,9:46:36 PM,1,104,Arbex Battery NS40ZL,Unit,1,37,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/37-1602757517520.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T134515Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=23951b530b3cb75f3d7abece20574df25a84e4b1a33148f95fe3362bb76ff2fa\"""
101,3,30,0,Fri,12:22:18 AM,5,367,Berries OO,Unit,1,237,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/237-1602776353496.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T162137Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=4d1303c58c4cabc7882699c02c364794c70d7dcbae20639d163b58a800114b67\"""
102,11,30,1,Fri,12:29:56 AM,5,368,Walnuts OO,Unit,1,237,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/237-1602776653697.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T162910Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=7a65ca1ce9a421322f7f733c479072e281cab87d64593935ad341a3cbb48478a\"""
103,11,60,1,Fri,1:19:30 AM,1,399,Mineral Trace,Unit,2,262,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/262-1602780628809.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T171827Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=41300ee2cd8629cf938680ed178f0ae88ce69f3703da27913a1de6965b08ac3d\"""
104,8,12.9,0,Fri,2:00:42 AM,1,120,Fish Dum Briyani - Order 1 Day In Advance,Pek,1,94,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/94-1602758980904.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T175925Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=74d7cac5dc941d8db9f0799046ac75381f3a06af6b69662c623ad1d76469f6e3\"""
105,4,15,0,Fri,2:48:51 AM,1,423,Tumblr,Unit,1,277,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/277-1602787072010.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T184800Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=3277ad5a40fe99214b197ec5d7014e1eefeb0c4beea07ad482f5e91a7e7af1ad\"""
106,3,12,0,Fri,6:55:13 AM,1,252,Creampuff (Mini Box),Pek,1,161,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/161-1602766977830.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T225407Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=0f38b017dbe6b5d0bdae9423c9daff6aea45d15df7a2f58169ee18b0d86b9b31\"""
107,8,98,0,Fri,8:11:47 AM,1,306,Set Shampoo hair loss/ dandruff Set,Pek,2,198,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/198-1602770597649.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T001115Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=4e1b65e78eddb92bf500d536cd4e0a1d78711d4be4ed9d68a8c2b98a98e18013\"""
109,8,22,0,Fri,9:18:28 AM,1,442,Brownies,Unit,2,293,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/293-1602805715466.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T011445Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=371dd3a7b88f42bea37cbb9e38f20dd4b581a3ae2d024f8c4cf345e9f6c8d7e9\"""
110,11,6,1,Fri,9:20:58 AM,1,367,Berries OO,Unit,2,237,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/237-1602776353496.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T011917Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=6be86ab5961d81f84cf048e086f83f9a707282fa24898759e45ab839c6b6ef46\"""
111,11,150,1,Fri,10:11:01 AM,5,518,Inari Mix,Unit,2,332,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/332-1602813261085.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T021028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=7a18782f0598b387d169718ca86b3009ebad83c71ca2ce354f232d0d8d6abd04\"""
112,4,75,0,Fri,10:23:25 AM,5,518,Inari Mix,Unit,2,332,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/332-1602813261085.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T022312Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=49a8ee268c29e4982f03f6649d931226c07644e48123284fdc62ee9a3862432f\"""
113,11,90,1,Fri,11:36:44 AM,1,190,Browned Butter Brownies,Unit,2,102,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/102-1602763478669.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T033540Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=416dd7b27c5e7a72c7767d817aadcf44b12f4789c27708371048e3f835cfa97c\"""
114,11,3.9,1,Fri,12:39:21 PM,1,575,Chicken Chop,Unit,1,368,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/368-1602819195492.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T043833Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=2fadbf0d8b405f82c44abf2c4a6f2ae0b41ad3b442f04664306d6204eb3747f9\"""
115,11,10.9,1,Fri,12:43:31 PM,1,576,Ayam goreng set,Unit,2,368,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/368-1602819286372.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T043940Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=a5f4480fa2a3119d34823f4e5f8b3afafd34bcf3c1b2d72c7beb4bfb7ab4b27b\"""
116,11,20,1,Fri,1:29:09 PM,2,490,Kombo Mantap,Unit,1,302,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/302-1602811619351.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T052854Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=b72134375f255faeaea39cc3a756a3127d515d99321ff2582c7fdc02ced5a364\"""
117,4,39,0,Fri,1:42:34 PM,1,683,Nutella Orange Kek Lapis (500g),Unit,1,407,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/407-1602826738814.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T054124Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=5dd8b7fcda3f286d90b95fcb29effc2ff3ec4e2f77835bc19872a0234442075d\"""
118,4,60,0,Fri,1:56:42 PM,1,519,Tshirt Liverpool khat/jawi,Kg,1,337,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/337-1602813800782.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T055521Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=37b6f1e3d3733a291407db56598668bb6801a3d5840102597db68020b8c98ffc\"""
119,8,18,0,Fri,2:28:13 PM,1,693,Set Nasi Ayam Goreng,Unit,2,428,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/428-1602828004298.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T062738Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=58493d18447c15cb97b3af4ff1b0627c11b35c3ede929a68b13576815f0a367c\"""
120,11,18,1,Fri,2:33:08 PM,1,698,Set Nasi Bawal Goreng,Unit,2,428,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/428-1602828090193.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T063230Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=80ad7f449997a3b69b60b87c58fe7042f50c06990c992d34cc7c2e3223e9e937\"""
121,4,10,0,Fri,2:43:02 PM,1,448,LemoniB,Unit,1,299,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/299-1602806533286.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T064222Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=7bf6ff8a9be9723f6a314259e1f0b4848463911829d1bd1f01ca19b2eb52d1d6\"""
122,8,36,0,Fri,2:43:14 PM,2,696,Set Nasi Udang Goreng,Unit,2,428,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/428-1602827955231.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T064201Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=55e9d80891ddfb57e4fd8bd6edcc08739166e1140de7b398a212b62029fb5fb3\"""
123,8,6,0,Fri,3:02:51 PM,1,431,Coto Makassar Nasi Impit.  Ayam rm6/ Daging rm7/ Perut rm7/ Campur rm8,Unit,1,284,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/284-1602802657440.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201016%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201016T070058Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=6fe5c8e9a54db1c1862b80963556305edcc3f5644e8e55e3f77cdf4704dbe208\"""
